Model,MSE,R2,MAE,MedAE,MaxError,Within_0.05,Within_0.1,Train_Time
Polynomial (Deg 4),0.018761101862827458,0.8625195968830388,0.09461276003666856,0.05499879731716617,0.579632719317424,0.4583333333333333,0.6416666666666667,0.003606557846069336
Random Forest,0.013329393316837168,0.90232288167817,0.0667208008460625,0.03076948790681666,0.5021222222222215,0.6,0.775,0.3062100410461426
Gradient Boosting,0.013439215290475759,0.901518111824175,0.06801806123945306,0.027146894894596374,0.5185102840599223,0.5666666666666667,0.7583333333333333,0.1421360969543457
MLP,0.021970394222593833,0.8390020652067639,0.10603279976517214,0.06685020384966722,0.5613594104107278,0.375,0.6,4.773521423339844
